Wavelength[nm],AOI 9.65 deg
3000,0.00208
2999,0.00205
2998,0.00203
2997,0.002
2996,0.00198
2995,0.00195
2994,0.00193
2993,0.00191
2992,0.00188
2991,0.00186
2990,0.00184
2989,0.00182
2988,0.0018
2987,0.00178
2986,0.00176
2985,0.00174
2984,0.00172
2983,0.0017
2982,0.00169
2981,0.00167
2980,0.00165
2979,0.00163
2978,0.00162
2977,0.0016
2976,0.00159
2975,0.00157
2974,0.00156
2973,0.00154
2972,0.00153
2971,0.00151
2970,0.0015
2969,0.00149
2968,0.00148
2967,0.00146
2966,0.00145
2965,0.00144
2964,0.00143
2963,0.00142
2962,0.00141
2961,0.0014
2960,0.00139
2959,0.00138
2958,0.00137
2957,0.00136
2956,0.00135
2955,0.00134
2954,0.00133
2953,0.00132
2952,0.00131
2951,0.00131
2950,0.0013
2949,0.00129
2948,0.00128
2947,0.00128
2946,0.00127
2945,0.00126
2944,0.00126
2943,0.00125
2942,0.00124
2941,0.00124
2940,0.00123
2939,0.00123
2938,0.00122
2937,0.00122
2936,0.00121
2935,0.00121
2934,0.0012
2933,0.0012
2932,0.0012
2931,0.00119
2930,0.00119
2929,0.00118
2928,0.00118
2927,0.00118
2926,0.00117
2925,0.00117
2924,0.00117
2923,0.00117
2922,0.00116
2921,0.00116
2920,0.00116
2919,0.00116
2918,0.00115
2917,0.00115
2916,0.00115
2915,0.00115
2914,0.00115
2913,0.00115
2912,0.00115
2911,0.00115
2910,0.00114
2909,0.00114
2908,0.00114
2907,0.00114
2906,0.00114
2905,0.00114
2904,0.00114
2903,0.00114
2902,0.00114
2901,0.00114
2900,0.00114
2899,0.00114
2898,0.00114
2897,0.00114
2896,0.00115
2895,0.00115
2894,0.00115
2893,0.00115
2892,0.00115
2891,0.00115
2890,0.00115
2889,0.00115
2888,0.00116
2887,0.00116
2886,0.00116
2885,0.00116
2884,0.00116
2883,0.00117
2882,0.00117
2881,0.00117
2880,0.00117
2879,0.00118
2878,0.00118
2877,0.00118
2876,0.00118
2875,0.00119
2874,0.00119
2873,0.00119
2872,0.0012
2871,0.0012
2870,0.0012
2869,0.00121
2868,0.00121
2867,0.00122
2866,0.00122
2865,0.00122
2864,0.00123
2863,0.00123
2862,0.00124
2861,0.00124
2860,0.00125
2859,0.00125
2858,0.00126
2857,0.00126
2856,0.00127
2855,0.00127
2854,0.00128
2853,0.00128
2852,0.00129
2851,0.00129
2850,0.0013
2849,0.00131
2848,0.00131
2847,0.00132
2846,0.00132
2845,0.00133
2844,0.00134
2843,0.00134
2842,0.00135
2841,0.00136
2840,0.00137
2839,0.00137
2838,0.00138
2837,0.00139
2836,0.0014
2835,0.0014
2834,0.00141
2833,0.00142
2832,0.00143
2831,0.00144
2830,0.00144
2829,0.00145
2828,0.00146
2827,0.00147
2826,0.00148
2825,0.00149
2824,0.0015
2823,0.00151
2822,0.00152
2821,0.00153
2820,0.00154
2819,0.00155
2818,0.00156
2817,0.00157
2816,0.00159
2815,0.0016
2814,0.00161
2813,0.00162
2812,0.00163
2811,0.00165
2810,0.00166
2809,0.00167
2808,0.00169
2807,0.0017
2806,0.00171
2805,0.00173
2804,0.00174
2803,0.00176
2802,0.00177
2801,0.00179
2800,0.0018
2799,0.00182
2798,0.00183
2797,0.00185
2796,0.00187
2795,0.00188
2794,0.0019
